AFF_LOVE_POINT	Sevgi Puani: %%%d
TOOLTIP_ANTIFLAG_MYSHOP	Niezdatny do handlu w sklepie.
TOOLTIP_ANTIFLAG_GIVE	Niezdatny do przekazania innym graczom.
TOOLTIP_ANTIFLAG_NO_TRADE	Niezdatny do handlu z graczami.
ITEMSHOP_TIME_AUCTION_START	Zaczyna się za %s
ITEMSHOP_TIME_AUCTION_END	Koniec za %s
ITEMSHOP_MIN_LEVEL	Wymagany poziom do zakupu: %d
SAVED_POSITION_TOOLTIP_INFO	Podgląd zapisanej lokalizacji:
SAVED_POSITION_MAP_PREVIEW_UNAVAILABLE	Podgląd niedostępny.
TOOLTIP_REFINE_BONUS_ITEM_TYPE	Typ przedmiotu: %s
REFINE_BONUS_ITEM_ALL	Każdy
REFINE_BONUS_ITEM_ARMOR	Zbroja, Tarcza, Hełm
REFINE_BONUS_ITEM_WEAPON	Broń
REFINE_BONUS_ITEM_JEWELRY	Biżuteria
REFINE_BONUS_USE_LEVEL	Max. poziom przedmiotu: %d
REFINE_BONUS_REFINE_LEVEL	Max. ulepszenie z +%d na +%d.
REFINE_BONUS_NO_GOLD	Brak kosztów Yang.
REFINE_BONUS_NO_ITEM	Brak wymaganych ulepszaczy.
REFINE_BONUS_100_CHANCE	100% szans na ulepszenie.
FAST_STAT_ADD_TITLE	Szybkie rozdanie statystyk
TOOLTIP_FAST_STAT_ADD	|Eshortcut/ctrl|e + |Eshortcut/mleft|e - szybkie rozdanie statystyk
CHANNEL_SWITCH_PREMIUM_ERROR	Wskazany kanał dostępny jest tylko dla kont Premium.
TOOLTIP_ARROW_DAMAGE_BONUS	Wartość ataku: %d
TOOLTIP_ARROW_DAMAGE_REDUCTION	Maks. redukcja obrażeń: %d%% (potwory %d%%)
TOOLTIP_ARROW_MIN_RADIUS	Optymalny dystans strzału: do %.1fm
TOOLTIP_ARROW_MAX_RADIUS	Słaba jakość strzału: od %.1fm
CRAFTING_FILTER_ALL	Wszystko
CRAFTING_FILTER_AVAILABLE	Dostępne
CRAFTING_FILTER_NOT_AVAILABLE	Niedostępne
CRAFTING_SELECT_ITEM	Wybierz przedmiot.
CRAFTING_REQUIRE_LEVEL	Wymagany %d poziom postaci.
CRAFTING_REQUIRE_RECIPE	Wymagana znajomość receptury (%d/%d)
CRAFTING_ITEM_NOT_AVAILABLE	Przedmiot jest niedostępny.
TOOLTIP_AFFECT_TEMPLE	Klątwa Świątyni;Twój umysł jest otępiony przez co;znacznie tracisz zdolności bojowe.
TOOLTIP_AFFECT_DEVILTOWER_DAMAGE	Spaczenie Ciemności;Skóra piecze i pęka pod wpływem mrocznej energii,;wystawiając cię na większe obrażenia.
WHISPER_ANOTHER_EMPIRE_WARNING	Gracz jest z innego królestwa, bez znajomości drugiego języka nie porozumiecie się.
HERB_CRAFT_CATEGORY_BOOST	Wzmacniające
HERB_CRAFT_CATEGORY_OFFENSIVE	Ofensywne
HERB_CRAFT_CATEGORY_DEFENSIVE	Defensywne
TOOLTIP_POTION_ST	Mikstura Siły
TOOLTIP_POTION_HT	Mikstura Witalności
TOOLTIP_POTION_DX	Mikstura Zręczności
TOOLTIP_POTION_IQ	Mikstura Inteligencji
TOOLTIP_POTION_CRIT	Mikstura Krytycznego Ciosu
TOOLTIP_POTION_PENET	Mikstura Przeszywającego Ciosu
TOOLTIP_POTION_RESIST_MAGIC	Mikstura Magicznej Obrony
TOOLTIP_POTION_MAX_HP	Mikstura Życia
TOOLTIP_POTION_MAGIC_ATT_MOB	Mikstura Siły Magii
TOOLTIP_POTION_ATT_GRADE	Mikstura Ataku
TOOLTIP_POTION_DEF_GRADE	Mikstura Obrony
TOOLTIP_POTION_CAST_SPEED	Mikstura Szybkości Zaklęcia
TOOLTIP_POTION_SKILL_DURATION	Mikstura Trwałości
TOOLTIP_POTION_HP_REGEN	Mikstura Regeneracji Życia
TOOLTIP_POTION_SP_REGEN	Mikstura Regeneracji Energii
TOOLTIP_POTION_ST_REGEN	Mikstura Regeneracji Staminy
TOOLTIP_POTION_ATTBONUS_HUMAN	Mikstura Pogromcy
TOOLTIP_POTION_SKILL_DAMAGE_BONUS	Mikstura Potęgi
TOOLTIP_POTION_RESIST_HUMAN	Mikstura Łuski Smoka
TOOLTIP_POTION_SKILL_DEFEND	Mikstura Niewrażliwości
TOOLTIP_POTION_NORMAL_HIT_DEFEND	Mikstura Nietykalności
TOOLTIP_POTION_RESIST_NORMAL_DAMAGE	Mikstura Odporności Fizycznej
TOOLTIP_POTION_LEARN	Mikstura Geniuszu
TOOLTIP_POTION_NO_FAIL_TIME	Nie potrzebujesz odpoczynku w przypadku nieudanej nauki.
TOOLTIP_POTION_NO_EXP	Nie otrzymujesz doświadczenia.
TOOLTIP_POTION_COLLECT_NO_FAIL_TIME	Biolog nie potrzebuje czasu na przeanalizowanie próbki złej jakości.
TOOLTIP_POINT_LEARN_CHANCE	Szansa na pomyślną naukę zwiększona o współczynnik %.2f.	SA
MINING_SKILL_BONUS	Szansa na wydobycie rudy +%d%%
GATHER_SKILL_BONUS	Szansa na zerwanie kwiatu +%d%%
TOOLTIP_AFFECT_HERBALIST_BONUS	Szansa na zerwanie dodatkowych kwiatów.
ITEM_EXCHANGE_WRONG_ITEM_SOULSTONE	Nie możesz wymienić tego przedmiotu (tylko Kamienie Duszy).
ITEM_EXCHANGE_WRONG_ITEM_SKILLBOOK	Nie możesz wymienić tego przedmiotu (tylko Księgi Umiejętności).
ITEM_EXCHANGE_WRONG_ITEM_BOOK	Nie możesz wymienić tego przedmiotu (tylko Księgi Umiejętności/Zapomnienia lub Receptury).
ITEM_EXCHANGE_WRONG_ITEM_REFINEITEM	Nie możesz wymienić tego przedmiotu (tylko Ulepszacze).
ITEM_EXCHANGE_WRONG_ITEM	Nie możesz wymienić tego przedmiotu.
MAGIC_EXTRACT_WRONG_ITEM	Przedmiot musi posiadać od 1 do 3 bonusów.
MAGIC_EXTRACT_CHANCE_INFO	Im więcej bonusów tym większa szansa.
ITEM_EXCHANGE_NO_ITEM	Dodaj przedmiot do wymiany.
ITEM_EXCHANGE_NO_ITEM_SOUL_STONE	Dodaj Kamień Duszy do wymiany.
ITEM_EXCHANGE_NO_ITEM_SKILLBOOK	Dodaj Księgę Umiejętności do wymiany.
ITEM_EXCHANGE_NO_ITEM_REFINEITEM	Dodaj ulepszacz do wymiany.
ITEM_EXCHANGE_MAX_ITEM_COUNT	Nie możesz dodać więcej przedmiotów.
TOOLTIP_ITEM_QUALITY	Jakość +%d%%
TOOLTIP_AFFECT_MONKEY_CURSE_EASY	Ochrona przed klątwą Małp;w Łatwym Lochu.
TOOLTIP_AFFECT_MONKEY_CURSE_NORMAL	Ochrona przed klątwą Małp;w Normalnym Lochu.
TOOLTIP_AFFECT_MONKEY_CURSE_HARD	Ochrona przed klątwą Małp;w Trudnym Lochu.
CONFIG_NEED_RESTART	Pewne zmiany wymagają restartu gry, kontynuować?
CONFIG_SCALE_MODE_WARNING	* UWAGA * Opcja eksperymentalna![ENTER]Tryb Skalowania interfejsu może prowadzić do obniżenia[ENTER]jakości interfejsu (elementy graficzne, czcionka).[ENTER]Kolor |cff8ab98ezielony|r oznacza, że skalowanie MOŻE BYĆ najoptymalniejsze.[ENTER]Kolor |cffe57976czerwony|r oznacza, że skalowanie może doprowadzić[ENTER]do braku responsywności gry.
CONFIG_FONT_OPTION1	Domyślna
CONFIG_FONT_OPTION2	Duża
CONFIG_FONT_OPTION3	Arial
PARAGRAPH	§
CREDENTIALS_FILL	Podaj login i hasło, aby je zapisać.
NAME_PROFANE_WORDS	Nazwa zawiera niedozwolone słowa.
SKILL_ASSASSIN_BLOODTHIRST	Żądza Krwi
SKILL_ASSASSIN_BLOODTHIRST_DESC	Aktywuje się po ataku Zasadzką w potwora. Zwiększa siłę ataku ze sztyletów w potwory.
SKILL_SHAMAN_HEAVEN_PROTECTION	Niebiańska Tarcza
SKILL_SHAMAN_HEAVEN_PROTECTION_DESC	Aktywuje się razem z użyciem um. Leczenie. Absorbuje obrażenia zadane od potworów.
SKILL_SHAMAN_FIRE_RAGE	Smoczy Gniew
SKILL_SHAMAN_FIRE_RAGE_DESC	Aktywuje się razem z użyciem um. Smoczy Skowyt. Zwiększa siłę ataku fizycznego.
INTRO_CREATE_ACTIVE_SKILLS_TITLE	Aktywne Umiejętności
INTRO_CREATE_OTHER	Inne
ASSASSIN_ARCHER_DESCRIPTION	Potrafi strzelać w kilka celów jednocześnie.
SHAMAN_DESCRIPTION	Premia od użycia um. buffujących na samego siebie.
PLAYER_STATS_MONSTER	Zabite potwory
PLAYER_STATS_BOSS	Pokonane bossy
PLAYER_STATS_MINIBOSS	Pokonane minibossy
PLAYER_STATS_DUNGEON	Ukończone lochy
PLAYER_STATS_EMPIRE	Pokonani gracze (przeciwne król.)
PLAYER_STATS_DUEL	Wygrane pojedynki
PLAYER_STATS_STONE	Zniszczone kamienie Metin
PLAYER_STATS_MINING	Wykopane rudy
PLAYER_STATS_FISHING	Wyłowione ryby
PLAYER_STATS_HERBALISM	Zebrane kwiaty
PLAYER_STATS_CHEST	Otwarte skrzynie
PLAYER_STATS_DEATH	Ilość śmierci
PLAYER_STATS_DEATH_PLAYER	Ilość śmierci przez graczy
PLAYER_STATS_DEATH_MOB	Ilość śmierci przez potwory
PLAYER_STATS_DAMAGE	Największe zadane obrażenia (zwykłe)
PLAYER_STATS_DAMAGE_HORSE	Największe zadane obrażenia (konno)
PLAYER_STATS_DAMAGE_SKILL	Największe zadane obrażenia (umiejętność)
PLAYER_STATS_GOLD	Zdobyte Yang
PLAYER_STATS_GOLD_SELL_SHOP	Suma Yang ze sprzedaży u NPC
PLAYER_STATS_REFINE_SUCCESS	Pomyślne ulepszenia
PLAYER_STATS_REFINE_FAIL_SMITH	Spalone przedmioty u Kowala
PLAYER_STATS_QUESTBOOK	Ukończone księgi misji
FLOATING_TEXT_END_AFFECT	Efekt minął: %s
MINIMAP_STRECH	Powiększ
MINIMAP_SHRINK	Zmniejsz
CHANNEL_STATUS_OFFLINE	OFF
CHANNEL_STATUS_RECOMMENDED	NORM
CHANNEL_STATUS_BUSY	BUSY
CHANNEL_STATUS_FULL	FULL
STATUS_PLUS_LABEL	|cffbc893adostępne [|r%d|cffbc893a]|r
MYSHOP_REOPEN_TITLE	Otwórz sklep ponownie
MYSHOP_REOPEN_INPUT_PLACEHOLDER	Nazwa sklepu
SHOP_EXPIRE_NOTIFY_GUEST	Sklep został zamknięty lub wygasł.
SHOP_HAS_BEEN_EDITED	Oferta sklepu została edytowana.
PLAYER_SHOP_TITLE	Sklep Gracza %s
QUICK_ADD_TO_MYSHOP	|Eshortcut/mright|e - dodaj do sklepu.
QUICK_REMOVE_FROM_MYSHOP	|Eshortcut/mleft|e - usuń ze sklepu.
QUICK_EDIT_MYSHOP	|Eshortcut/mright|e - edytuj cenę.
QUICK_EDIT_MYSHOP_SIMILAR	|Eshortcut/ctrl|e + |Eshortcut/mright|e - edytuj cenę podobnych.
QUICK_BUY_SHOP	|Eshortcut/mleft|e  lub |Eshortcut/mright|e - kup przedmiot.
QUICK_BUY_ALL_SIMILAR	|Eshortcut/ctrl|e + |Eshortcut/mleft|e - kup wszystkie podobne.
OFFLINE_SHOP_ESTIMATED_REVENUE	Przewidywane zarobki netto:
TOO_HIGH_SHOP_VALUE	Wartość sklepu przekracza 2 miliardy Yang.
FIRST_SHOUT_TIP	Czat WOŁAJ widzą tylko gracze z Twojego królestwa.[ENTER]Czatem globalnym jest czat handlowy (napisz |cffffd000@|rwiadomość)[ENTER] [ENTER]UWAGA![ENTER]Czat handlowy służy tylko do ofert handlowych.[ENTER]Inne wiadomości mogą zostać ukarane czasową blokadą czatu.
TOOLTIP_TIPS_SPLIT_ITEM	{} + {} rozdziel przedmioty.
CHEQUE_SYSTEM_UNIT_CHEQUE	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_CHEQUE	%s Won
CHEQUE_SYSTEM_UNIT_WON	Won
TOOLTIP_FAST_PICKUP	Podnoszenie przedmiotów z ziemii szybsze o 500%.
HIDE_INTERFACE_TIP	CTRL+TAB - Przywróć interfejs.
ATTRIBUTE_LIST_OFFENSIVE	Ofensywne
ATTRIBUTE_LIST_OFFENSIVE_PLAYER	Ofensywne (przeciwko Graczom)
ATTRIBUTE_LIST_OFFENSIVE_MONSTER	Ofensywne (przeciwko Potworom)
ATTRIBUTE_LIST_DEFENSIVE	Defensywne
ATTRIBUTE_LIST_DEFENSIVE_PLAYER	Defensywne (przeciwko Graczom)
ATTRIBUTE_LIST_DEFENSIVE_MONSTER	Defensywne (przeciwko Potworom)
ATTRIBUTE_LIST_OTHER	Inne
TOOLTIP_DEF_GRADE_CHARACTER_WINDOW	Bazowa obrona: %d (+%d%% wzmocnienie)
CANNOT_SELL_ITEM_HERE	Handlarz nie jest zainteresowany tym przedmiotem.
SPECIAL_SHOP_LIMIT_LEVEL	Wymagany poziom do zakupu: %d
SPECIAL_SHOP_LIMIT_REPUTATION	Wymagana reputacja: %s
SPECIAL_SHOP_REQ_ITEMS	Wymagane przedmioty:
REPUTATION_DESERT	Synowie Pustyni
REPUTATION_ORC_VALLEY	Królewska Gwardia
REPUTATION_SNAKE	Zielone Kły
REPUTATION_RANK0	Neutralny
REPUTATION_RANK1	Przyjazny
REPUTATION_RANK2	Szanowany
REPUTATION_RANK3	Sojusznik
SPECIAL_SHOP_ACCOUNT_LIMIT	Limit zakupów na konto: %d
SPECIAL_SHOP_LIMIT_TIME	Zakup raz na %s
TOOLTIP_RARE_PCT	%d%% na losowy bonus.	SA
AFFECT_REMOVE_ALL_RESIST	Złamanie odporności
POTION_RECHARGE_WRONG_ITEM	Nie możesz dodać tego przedmiotu.
POTION_RECHARGE_FIRST_AUTOPOTION	Najpierw dodaj eliksir.
POTION_RECHARGE_NO_SLOTS	Wszystkie miejsca na mikstury zostały zajęte.
POTION_RECHARGE_TOOLTIP	Eliksir jest pusty,|udaj się do Alchemika.
SAVE_ACCOUNT_LOAD_SHORTCUT_TOOLTIP	|cfff0b324F%d|r - szybkie logowanie.
SPECIAL_SHOP_UPDATE_POPUP	Oferta sklepu zmieniła się.
OFFLINE_SHOP_CANNOT_PLACE_ITEM_ON_ITEM	Nie możesz położyć przedmiotu na innym przedmiocie.
FISHING_POOL_BONUS	Bonus puli rybołówstwa +%d
FISHING_CHANCE_BONUS	Szansa na pomyślne wyłowienie +%d%%
MAINTENANCE_DIALOG_START_TIME	Godzina rozpoczęcia prac: |cffffaa21%s|r
MAINTENANCE_DIALOG_DURATION	Przewidywany czas trwania: |cffffaa21%s|r
MAINTENANCE_WHISPER	Przewidziana przerwa w dostępie do usług od godziny %s. Czas trwania %s.
CAPTCHA_LEFT_LABEL	Pozostało prób: %d
CAPTCHA_TIME_LABEL	Pozostało: %s sekund
WHISPER_BAN	Blokuj
WHISPER_UNBAN	Odblokuj
TOOLTIP_OPEN_SHOP_REQ_LEVEL	Wymagany 15 poziom.
TOOLTIP_OPEN_SHOP_REQ_MONSTER	Wymagane 800 zabitych potworów.
TOOLTIP_ESCAPE_OPTION	Użyj, kiedy zablokujesz się w "teksturach".
TOOLTIP_SPRINT	|Eshortcut/shift|e - aktywuj
CHANNEL_99	Kanał Specjalny
EXIT_GUILD_WAR_ASK	Czy chcesz opuścić wojnę gildii?
SHOP_SEARCH_CATEGORY_BOOKS	Księgi
SHOP_SEARCH_CATEGORY_REFINE	Ulepszacze
SHOP_SEARCH_CATEGORY_DRAGON_VOCHER	Kupony SM/Premium
SHOP_SEARCH_SUBCATEGORY_SKILL_WARRIOR_BODY	Wojownik Ciało
SHOP_SEARCH_SUBCATEGORY_SKILL_WARRIOR_MENTAL	Wojownik Umysł
SHOP_SEARCH_SUBCATEGORY_SKILL_ASSASSIN_DAGGER	Ninja Ostrze
SHOP_SEARCH_SUBCATEGORY_SKILL_ASSASSIN_ARCHER	Ninja Łuk
SHOP_SEARCH_SUBCATEGORY_SKILL_SURA_WP	Sura Mistrz Broni
SHOP_SEARCH_SUBCATEGORY_SKILL_SURA_BM	Sura Czarna Magia
SHOP_SEARCH_CATEGORY_SKILL_SHAMAN_DRAGON	Szaman Smok
SHOP_SEARCH_CATEGORY_SKILL_SHAMAN_HEALER	Szaman Leczenie
SHOP_SEARCH_CATEGORY_PASSIVE_SKILLS	Księgi Um. Pasywnych
SHOP_SEARCH_CATEGORY_SOUL_STONE	Kamienie Duszy
SHOP_SEARCH_CATEGORY_REFINE_M1	M1
SHOP_SEARCH_CATEGORY_REFINE_OATH	Zaprzysiężone
SHOP_SEARCH_CATEGORY_REFINE_M2	M2
SHOP_SEARCH_CATEGORY_REFINE_ORC	Dolina
SHOP_SEARCH_CATEGORY_REFINE_DESERT1	Pustynia I
SHOP_SEARCH_CATEGORY_REFINE_DESERT2	Pustynia II
SHOP_SEARCH_CATEGORY_REFINE_MOUNTAIN	Sohan
SHOP_SEARCH_CATEGORY_REFINE_HWANG	Hwang
SHOP_SEARCH_CATEGORY_REFINE_END	Wysoki poziom
SHOP_SEARCH_CATEGORY_REFINE_SPECIAL	Specjalne
SHOP_SEARCH_CATEGORY_REFINE_PEARL	Perły
SHOP_SEARCH_CATEGORY_HERBALISM	Zielarstwo
SHOP_SEARCH_SUB_CATEGORY_HERBS_PRIMARY	Podstawowe Zioła
SHOP_SEARCH_SUB_CATEGORY_HERBS_SPECIAL	Specjalne Zioła
SHOP_SEARCH_SUB_CATEGORY_POTION_NORMAL	Zwykłe Mikstury
SHOP_SEARCH_SUB_CATEGORY_POTION_OFFENSIVE1	Soki Ofensywne
SHOP_SEARCH_SUB_CATEGORY_POTION_OFFENSIVE2	Wody Ofensywne
SHOP_SEARCH_SUB_CATEGORY_POTION_OFFENSIVE3	Rosy Ofensywne
SHOP_SEARCH_SUB_CATEGORY_POTION_DEFENSIVE1	Soki Defensywne
SHOP_SEARCH_SUB_CATEGORY_POTION_DEFENSIVE2	Wody Defensywne
SHOP_SEARCH_SUB_CATEGORY_POTION_DEFENSIVE3	Rosy Defensywne
SHOP_SEARCH_SUB_CATEGORY_POTION_POWER1	Soki Wzmacniające
SHOP_SEARCH_SUB_CATEGORY_POTION_POWER2	Wody Wzmacniające
SHOP_SEARCH_SUB_CATEGORY_POTION_POWER3	Rosy Wzmacniające
SHOP_SEARCH_SUB_CATEGORY_POTION_OTHER	Inne Mikstury
SHOP_SEARCH_SUB_CATEGORY_AUTOPOTION	Autopoty
SHOP_SEARCH_SUB_CATEOGRY_RECIPE_OFFENSIVE	Receptury Ofensywne
SHOP_SEARCH_SUB_CATEOGRY_RECIPE_DEFENSIVE	Receptury Defensywne
SHOP_SEARCH_SUB_CATEOGRY_RECIPE_POWER	Receptury Wzmacniające
SHOP_SEARCH_SUB_CATEOGRY_RECIPE_OTHER	Receptury Inne
SHOP_SEARCH_CATEGORY_ATTR_ITEM	Przedmiot z Bonusem
SHOP_SEARCH_CATEGORY_FISHING	Rybołówstwo
SHOP_SEARCH_SUB_CATEGORY_FISH	Ryby Surowe
SHOP_SEARCH_SUB_CATEGORY_FISH_COOK	Ryby Pieczone
SHOP_SEARCH_SUB_CATEGORY_FISH_OTHER	Inne
SHOP_SEARCH_CATEGORY_HORSE	Przedmioty Konne
SHOP_SEARCH_SUB_CATEGORY_HORSE_LEARN	Szkolenie
SHOP_SEARCH_SUB_CATEGORY_HORSE_OTHER	Inne
SHOP_SEARCH_CATEGORY_MINING	Górnictwo
SHOP_SEARCH_SUB_CATEGORY_MINING_ORE	Rudy
SHOP_SEARCH_SUB_CATEGORY_MINING_SMELT	Przetopy
SHOP_SEARCH_CATEGORY_POLYMARBLE	Marmury Polimorfii
SHOP_SEARCH_CATEGORY_SPECIAL_ITEMS	Przedmioty Specjalne
SHOP_SEARCH_SUB_CATEGORY_SPECIAL_REFINE	Uszlachetnianie
SHOP_SEARCH_SUB_CATEGORY_SPECIAL_TOITEM	Wzmocnienie Przedmiotu
SHOP_SEARCH_SUB_CATEGORY_SPECIAL_CHAR	Postać
SHOP_SEARCH_SUB_CATEGORY_SPECIAL_BATTLE	Walka
SHOP_SEARCH_SUB_CATEGORY_SPECIAL_OTHER	Inne
SHOP_SEARCH_SUB_CATEGORY_SPECIAL_VOUCHER	Kupony
SHOP_SEARCH_SUB_CATEGORY_SPECIAL_QUEST	Misje
SHOP_SEARCH_SUB_CATEGORY_SPECIAL_LOOTBOX	Szkatułki i Klucze
SHOP_SEARCH_SUB_CATEGORY_ARMOR1	Zbroje
SHOP_SEARCH_SUB_CATEGORY_ARMOR2	Tarcze
SHOP_SEARCH_SUB_CATEGORY_ARMOR3	Hełmy
SHOP_SEARCH_SUB_CATEGORY_WEAPON1	Jednoręczne
SHOP_SEARCH_SUB_CATEGORY_WEAPON2	Dwuręczne
SHOP_SEARCH_SUB_CATEGORY_WEAPON3	Sztylety
SHOP_SEARCH_SUB_CATEGORY_WEAPON4	Łuki
SHOP_SEARCH_SUB_CATEGORY_WEAPON5	Dzwony
SHOP_SEARCH_SUB_CATEGORY_WEAPON6	Wachlarze
SHOP_SEARCH_SUB_CATEGORY_JEWELRY1	Kolczyki
SHOP_SEARCH_SUB_CATEGORY_JEWELRY2	Naszyjniki
SHOP_SEARCH_SUB_CATEGORY_JEWELRY3	Bransolety
SHOP_SEARCH_SUB_CATEGORY_JEWELRY4	Buty
SHOP_SEARCH_ATTR_ITEM_INFO	Wyszukaj przedmioty z min. 1 bonusem.
SHOP_SEARCH_NO_CATEGORY	Wybierz kategorię.
SHOP_SEARCH_CLEAR_INFO	Wyczyszczono wszystkie znaczniki sklepów offline.
SHOP_SEARCH_CATEGORY_ARMOR	Uzbrojenie
SHOP_SEARCH_CATEGORY_ARMOR_INFO	Wyszukaj zbroje/tarcze/hełmy.
SHOP_SEARCH_CATEGORY_WEAPON	Bronie
SHOP_SEARCH_CATEGORY_WEAPON_INFO	Wyszukaj bronie.
SHOP_SEARCH_CATEGORY_JEWELRY	Biżuteria
SHOP_SEARCH_CATEGORY_JEWELRY_INFO	Wyszukaj biżuterię i buty.
SHOP_SEARCH_CATEGORY_QUEST	Misje
SHOP_SERACH_SUB_QUEST_BIOLOGIST	Badania Biologa
HORSE_INVENTORY_UNLOCK_INFO	Spełnij wymagania, aby odblokować dodatkowe miejsca.
HORSE_INVENTORY_UNLOCK_LEVEL_REQ	Wymagany %d Poziom Jeździectwa
HORSE_INVENTORY_LOCKED	Osiągnij 1 poziom jeździectwa[ENTER]i porozmawiaj ze Stajennym.
AUTOSTACK_INVENTORY	Połączono wszystkie możliwe do połączenia przedmioty w ekwipunku.
CRAFTING_ATTR_CHANGER_INFO	Uwaga![ENTER]Cena wytworzenia zmianek jest zmienna.[ENTER]Jej cena zależy od obecnego stanu gospodarki[ENTER]i jest stale monitorowana przez administrację.
ITEMSHOP_USE_VOUCHER_PLACEHOLDER	Podaj kod...
ITEMSHOP_CATEGORY_USE_VOUCHER	Wykorzystaj voucher
ITEMSHOP_USE_VOUCHER	Wykorzystaj
USE_VOUCHER_SUCCESS	Pomyślnie wykorzystano kupon!
USE_VOUCHER_NO_CODE	Niepoprawny kod.
USE_VOUCHER_ALREADY_USED	Kod został już wykorzystany.
USE_VOUCHER_TRY_AGAIN_LATER	Spróbuj później.
SHOP_EDIT_MODE_ON	Włączono tryb edycji sklepu.
SHOP_EDIT_MODE_OFF	Wyłączono tryb edycji sklepu.
REPORT_PLAYER_REASON_HACK	Inne hacki/cheaty
REPORT_PLAYER_REASON_BOT	Bot
REPORT_PLAYER_REASON_FISHBOT	Fishbot
REPORT_PLAYER_REASON_INSULT	Wyzwiska
REPORT_PLAYER_SELECT_REASON	Wybierz powód zgłoszenia.
REPORT_DONE	Dziękujemy za zgłoszenie!
AFFECT_DEATH_PENALTY	W przypadku śmierci na ujemnej randze;nie ryzykujesz utratą przedmiotu.;Efekt znika w przypadku ochrony;potencjalnej utraty przedmiotu.
TOOLTIP_POINT_ATT_SPECIAL	Obrażenia przeciwko Bossom/MiniBossom/Metinom +%d%%
TOOLTIP_POINT_DEATH_PENALTY	Ilość Ładunków: %d
CHANGE_PLAYER_NAME	Zmiana nazwy postaci
CHANGE_PLAYER_NAME_ERROR	Nazwa Postaci jest niepoprawna.
TOOLTIP_AFFECT_NO_FRIENDLY_KILL_PENALTY	Nie stracisz rangi jeżeli zabijesz przyjaznego gracza.
PKMODE_FREE_WARNING	Ryzykujesz utratą przedmiotu!
ITEM_UNEQUIP_DESTROY_WARNING	Zdjęcie tego przedmiotu spowoduje jego usunięcie.
SOCKET_EXTRACT_QUESTION	Czy chcesz wyjąć ten Kamień z Przedmiotu?
SUMMER_RING_LEFT	Pozostałe możliwe przedłużenia: %d
